Addresses,Prices,Beds,Baths,Square Footage,Zip Code,State,City,Street Address
"Eon Squared Fort Lauderdale, FL 33304","$2,234 - $3,379/mo",Studio-2bd,1-2ba,No Data,33304,FL,Fort Lauderdale,Eon Squared
"6620 NW 29th Ct Fort Lauderdale, FL 33313","$2,845/mo",3bd,2ba,"1,592 sqft",33313,FL,Fort Lauderdale,6620 NW 29th Ct
"2340 Farragut St Hollywood, FL 33020","$4,950/mo",4bd,2ba,"1,599 sqft",33020,FL,Hollywood,2340 Farragut St
"2830 NE 55th St Fort Lauderdale, FL 33308","$12,000/mo",3bd,3ba,"2,381 sqft",33308,FL,Fort Lauderdale,2830 NE 55th St
"26352 Barbinos Dr Punta Gorda, FL 33983","$2,739/mo",3bd,2ba,"1,796 sqft",33983,FL,Punta Gorda,26352 Barbinos Dr
"5115 Melbourne St   #3303 Punta Gorda, FL 33980","$5,500/mo",3bd,2.5ba,"1,759 sqft",33980,FL,Melbourne,"5115  St   #3303 Punta Gorda, FL 33980"
"155 N  East Ave Inverness, FL 34453",$400/mo,2bd,1ba,672 sqft,34453,FL,Inverness,155 N  East Ave
"409 Southwood Way Orange Park, FL 32065","$2,050/mo",3bd,2ba,"1,395 sqft",32065,FL,Orange Park,409 Southwood Way
"423 Janell Dr Orange Park, FL 32073","$1,850/mo",4bd,2ba,"1,660 sqft",32073,FL,Orange Park,423 Janell Dr
"200 Copperfield Ct Marco Island, FL 34145","$18,000/mo",3bd,3ba,"2,363 sqft",34145,FL,Marco Island,200 Copperfield Ct
"930 Marble Dr Naples, FL 34104","$8,400/mo",3bd,2ba,"1,850 sqft",34104,FL,Naples,930 Marble Dr
"910 Vanderbilt Beach Rd   #311W Naples, FL 34108","$7,500/mo",2bd,2ba,"1,336 sqft",34108,FL,Naples,910 Vanderbilt Beach Rd   #311W
"7819 Regal Heron Cir  #8-104 Naples, FL 34104","$4,000/mo",2bd,2ba,"1,304 sqft",34104,FL,Naples,7819 Regal Heron Cir  #8-104
"Barlow Jacksonville, FL 32207","$1,676 - $2,950/mo",1-3bd,1-2ba,No Data,32207,FL,Jacksonville,Barlow
"2520 Hiland St Jacksonville, FL 32204","$1,395/mo",3bd,1ba,884 sqft,32204,FL,Jacksonville,2520 Hiland St
"6645 Talking Tree Ct Jacksonville, FL 32205","$1,617/mo",4bd,2.5ba,"1,567 sqft",32205,FL,Jacksonville,6645 Talking Tree Ct
"8063 Macdougall Dr E Jacksonville, FL 32244","$1,705/mo",3bd,2ba,"1,425 sqft",32244,FL,Jacksonville,8063 Macdougall Dr E
"10348 Foggy Bottom Rd Pensacola, FL 32507","$2,395/mo",3bd,2ba,"2,345 sqft",32507,FL,Pensacola,10348 Foggy Bottom Rd
"360 S  C St Pensacola, FL 32502","$1,200/mo",3bd,1.5ba,"1,100 sqft",32502,FL,Pensacola,360 S  C St
"8241 Squire Rd Pensacola, FL 32514","$2,000/mo",4bd,2ba,"2,023 sqft",32514,FL,Pensacola,8241 Squire Rd
"2 Uniondale Pl   #B Palm Coast, FL 32164","$1,625/mo",3bd,2ba,"1,287 sqft",32164,FL,Palm Coast,2 Uniondale Pl   #B
"The Oasis at 1800 Tallahassee, FL 32308","$1,465 - $1,575/mo",1-3bd,1-2ba,No Data,32308,FL,Tallahassee,The Oasis at 1800
"1069 Shenandoah Ln Spring Hill, FL 34606","$2,050/mo",3bd,2ba,"1,932 sqft",34606,FL,Spring Hill,1069 Shenandoah Ln
"626 S  Broad St   #1B Brooksville, FL 34601",$795/mo,1bd,1ba,No Data,34601,FL,Brooksville,626 S  Broad St   #1B
"SkyHouse Channelside Tampa, FL 33602","$2,163 - $4,218/mo",Studio-3bd,1-3ba,No Data,33602,FL,Tampa,SkyHouse Channelside
"4309 Shadberry Dr Tampa, FL 33624","$2,100/mo",3bd,2.5ba,"1,498 sqft",33624,FL,Tampa,4309 Shadberry Dr
"1820 W  Morrison Ave Tampa, FL 33606","$5,950/mo",3bd,3.5ba,"2,836 sqft",33606,FL,Tampa,1820 W  Morrison Ave
"1901 Saddle Lake Pl Brandon, FL 33511","$2,200/mo",3bd,2ba,"1,616 sqft",33511,FL,Brandon,1901 Saddle Lake Pl
"5745 Marina Dr Sebastian, FL 32958","$2,400/mo",2bd,2ba,"1,060 sqft",32958,FL,Sebastian,5745 Marina Dr
"760 15th Ave Vero Beach, FL 32962","$2,195/mo",3bd,2ba,"1,278 sqft",32962,FL,Vero Beach,760 15th Ave
"35221 W  Griffin Dr Fruitland Park, FL 34731","$2,285/mo",3bd,2ba,"1,891 sqft",34731,FL,Fruitland Park,35221 W  Griffin Dr
"1218 Liberty Ave Mount Dora, FL 32757","$2,350/mo",2bd,2ba,"1,400 sqft",32757,FL,Mount Dora,1218 Liberty Ave
"Cortland Mirror Lake Apopka, FL 32703","$1,437 - $2,230/mo",Studio-3bd,1-2ba,No Data,32703,FL,Apopka,Cortland Mirror Lake
"2304 NW 8th Ter Cape Coral, FL 33993","$2,445/mo",4bd,2ba,"1,730 sqft",33993,FL,Cape Coral,2304 NW 8th Ter
"2771 Royal Palm Ave  #101 Fort Myers, FL 33901","$1,375/mo",1bd,1ba,675 sqft,33901,FL,Fort Myers,2771 Royal Palm Ave  #101
"16517 Calistoga Dr Bonita Springs, FL 34135","$6,500/mo",3bd,2.5ba,"2,199 sqft",34135,FL,Bonita Springs,16517 Calistoga Dr
"The Pearl Founders Square Naples, FL 34120","$2,264 - $4,319/mo",1-3bd,1-2ba,No Data,34120,FL,Naples,The Pearl Founders Square
"3410B Miami Dr Tallahassee, FL 32311",$875/mo,2bd,1ba,885 sqft,32311,FL,Miami,"3410B  Dr Tallahassee, FL 32311"
"MAA Lakewood Ranch Bradenton, FL 34202","$1,883 - $2,508/mo",1-3bd,1-2ba,No Data,34202,FL,Bradenton,MAA Lakewood Ranch
"702 49th St E Bradenton, FL 34208","$2,850/mo",3bd,2ba,"1,586 sqft",34208,FL,Bradenton,702 49th St E
"4716 Cassio Ct Bradenton, FL 34211","$5,000/mo",3bd,3ba,"2,405 sqft",34211,FL,Bradenton,4716 Cassio Ct
"13827 Green Hammock Pl Bradenton, FL 34212","$4,500/mo",4bd,2.5ba,"2,574 sqft",34212,FL,Bradenton,13827 Green Hammock Pl
"8883 SW 94th Ln #G Ocala, FL 34481","$1,800/mo",2bd,2ba,"1,409 sqft",34481,FL,Ocala,8883 SW 94th Ln #G
"17281 SE 85th Willowick Cir The Villages, FL 32162","$4,200/mo",3bd,2ba,"1,500 sqft",32162,FL,The Villages,17281 SE 85th Willowick Cir
"196 SW Kanner Hwy Stuart, FL 34997","$6,000/mo",3bd,2ba,"1,200 sqft",34997,FL,Stuart,196 SW Kanner Hwy
"2375 NE Ocean Blvd #E304 Stuart, FL 34996","$4,500/mo",2bd,2ba,"1,435 sqft",34996,FL,Stuart,2375 NE Ocean Blvd #E304
"2425 Flamingo Pl   #6 Miami Beach, FL 33140","$2,600/mo",1bd,2ba,No Data,33140,FL,Miami,"2425 Flamingo Pl   #6  Beach, FL 33140"
"28578 SW 131st Ct Homestead, FL 33033","$2,625/mo",3bd,2ba,"1,855 sqft",33033,FL,Homestead,28578 SW 131st Ct
"2020 N  Bayshore Dr #4502 Miami, FL 33137","$24,000/mo",4bd,4.5ba,"4,459 sqft",33137,FL,Miami,2020 N  Bayshore Dr #4502
"10300 SW 66th St   #107 Miami, FL 33173","$3,200/mo",3bd,2.5ba,"1,534 sqft",33173,FL,Miami,10300 SW 66th St   #107
"203 Atlantic Blvd Key Largo, FL 33037","$22,000/mo",4bd,2ba,No Data,33037,FL,Largo,203 Atlantic Blvd Key
"1820 Heartland Dr Fort Walton Beach, FL 32547","$1,950/mo",3bd,2ba,"1,247 sqft",32547,FL,Fort Walton Beach,1820 Heartland Dr
"728 Palm Blvd N  #1 Niceville, FL 32578","$1,750/mo",2bd,1.5ba,No Data,32578,FL,Niceville,728 Palm Blvd N  #1
"Makara Orlando Orlando, FL 32817","$1,775 - $2,610/mo",1-3bd,1-2ba,No Data,32817,FL,Orlando,Makara 
"6964 Brescia Way Orlando, FL 32819","$3,900/mo",5bd,3ba,"3,047 sqft",32819,FL,Orlando,6964 Brescia Way
"4412 Seybold Ave Orlando, FL 32808","$1,950/mo",4bd,1.5ba,"1,184 sqft",32808,FL,Orlando,4412 Seybold Ave
"1221 Berwyn Rd Orlando, FL 32806","$1,995/mo",3bd,2ba,"1,386 sqft",32806,FL,Orlando,1221 Berwyn Rd
"Heron Lake Kissimmee, FL 34741","$1,507 - $2,665/mo",1-3bd,1-2ba,No Data,34741,FL,Kissimmee,Heron Lake
"2950 Orangebud Dr Kissimmee, FL 34746","$2,500/mo",4bd,2.5ba,"2,787 sqft",34746,FL,Kissimmee,2950 Orangebud Dr
"2418 Berkshire Ct Kissimmee, FL 34746","$2,350/mo",3bd,2ba,"1,542 sqft",34746,FL,Kissimmee,2418 Berkshire Ct
"914R Halifax Dr Kissimmee, FL 34758","$2,110/mo",3bd,2ba,"1,450 sqft",34758,FL,Kissimmee,914R Halifax Dr
"Santorini Boynton Beach, FL 33426","$2,027 - $2,305/mo",1-2bd,1-2ba,No Data,33426,FL,Boynton Beach,Santorini
"608 SE 3rd Ave Delray Beach, FL 33483","$3,000/mo",2bd,1ba,750 sqft,33483,FL,Delray Beach,608 SE 3rd Ave
"9749 Court Of The Oranges Boca Raton, FL 33434","$3,625/mo",4bd,2ba,"2,112 sqft",33434,FL,Boca Raton,9749 Court Of The Oranges
"610 Clematis St #426 West Palm Beach, FL 33401","$7,500/mo",2bd,2ba,"1,130 sqft",33401,FL,West Palm Beach,610 Clematis St #426
"15458 Sweet Springs Bnd Odessa, FL 33556","$3,999/mo",5bd,3.5ba,"3,561 sqft",33556,FL,Odessa,15458 Sweet Springs Bnd
"7420 Ivanhoe Dr Port Richey, FL 34668","$1,939/mo",3bd,2ba,"1,370 sqft",34668,FL,Port Richey,7420 Ivanhoe Dr
"9611 Lake Chrise Ln Port Richey, FL 34668","$2,190/mo",4bd,2ba,"1,782 sqft",34668,FL,Port Richey,9611 Lake Chrise Ln
"5308 Pilots Pl New Port Richey, FL 34652","$2,800/mo",2bd,2ba,"1,659 sqft",34652,FL,New Port Richey,5308 Pilots Pl
"Peridot Palms Saint Petersburg, FL 33702","$1,619 - $2,892/mo",1-3bd,1-2ba,No Data,33702,FL,,
"2167 14th Ave S Saint Petersburg, FL 33712","$1,775/mo",2bd,1.5ba,938 sqft,33712,FL,,
"1470 Burnham Ln Dunedin, FL 34698","$3,445/mo",3bd,2ba,"2,281 sqft",34698,FL,Dunedin,1470 Burnham Ln
"5601 Bay St NE Saint Petersburg, FL 33703","$2,500/mo",3bd,2ba,"1,332 sqft",33703,FL,,
"1335 Mitchell St Lakeland, FL 33801","$2,200/mo",4bd,2ba,"2,335 sqft",33801,FL,Lakeland,1335 Mitchell St
"621 Montana Ave Lakeland, FL 33815","$1,200/mo",2bd,1ba,775 sqft,33815,FL,Lakeland,621 Montana Ave
"1401 Punta Gorda Dr Poinciana, FL 34759","$2,170/mo",4bd,2ba,"2,630 sqft",34759,FL,Poinciana,1401 Punta Gorda Dr
"3820 Red Oaks Ct Eagle Lake, FL 33839","$1,475/mo",2bd,1.5ba,"1,080 sqft",33839,FL,Eagle Lake,3820 Red Oaks Ct
"501 S  19th St Palatka, FL 32177","$1,195/mo",1bd,1ba,500 sqft,32177,FL,Palatka,501 S  19th St
"57 Alemany Pl Saint Johns, FL 32259","$2,495/mo",3bd,2.5ba,"1,722 sqft",32259,FL,,
"229 Moultrie Village Ln Saint Augustine, FL 32086","$1,850/mo",2bd,2.5ba,"1,372 sqft",32086,FL,,
"420 Eagle Rock Dr Ponte Vedra, FL 32081","$4,295/mo",5bd,3ba,"3,034 sqft",32081,FL,,
"2418 Harbour Cove Dr Hutchinson Island, FL 34949","$3,200/mo",3bd,2.5ba,"1,935 sqft",34949,FL,,
"3120 N  Highway A1A #801 Hutchinson Island, FL 34949","$4,500/mo",3bd,2ba,"2,370 sqft",34949,FL,,
"2112 Dunbrooke Cir Pt Saint Lucie, FL 34952","$7,000/mo",5bd,4ba,No Data,34952,FL,,
"4885 Timber Ridge Dr Pace, FL 32571","$2,500/mo",3bd,2ba,"2,001 sqft",32571,FL,Pace,4885 Timber Ridge Dr
"8608 Lunar Skye St Sarasota, FL 34241","$3,200/mo",3bd,2.5ba,"1,373 sqft",34241,FL,Sarasota,8608 Lunar Skye St
"7810 Holiday Dr Sarasota, FL 34231","$3,500/mo",2bd,2ba,"1,312 sqft",34231,FL,Sarasota,7810 Holiday Dr
"1860 Phillippi Shores Dr Sarasota, FL 34231","$1,590/mo",1bd,1ba,564 sqft,34231,FL,Sarasota,1860 Phillippi Shores Dr
"226 Golden Gate Poin #63 Sarasota, FL 34236","$7,200/mo",3bd,3ba,"1,778 sqft",34236,FL,Sarasota,226 Golden Gate Poin #63
"205 Marathon Ln Sanford, FL 32771","$2,460/mo",3bd,2ba,"1,751 sqft",32771,FL,Sanford,205 Marathon Ln
"715 Comanche St Oviedo, FL 32765","$2,745/mo",4bd,2ba,"2,120 sqft",32765,FL,Oviedo,715 Comanche St
"606 Casa Park O Ct   #O Winter Springs, FL 32708","$1,895/mo",2bd,2.5ba,"1,156 sqft",32708,FL,Winter Springs,606 Casa Park O Ct   #O
"10161 Mainsail Dr Oxford, FL 34484","$2,500/mo",2bd,2ba,"1,550 sqft",34484,FL,,
"2369 Graham Ave Deltona, FL 32738","$1,985/mo",3bd,2ba,"1,388 sqft",32738,FL,Deltona,2369 Graham Ave
"740 S  Woodward Ave Deland, FL 32720","$2,200/mo",5bd,3ba,"1,546 sqft",32720,FL,DeLand,"740 S  Woodward Ave Deland, FL 32720"
"3878 S  Atlantic Ave  #C Daytona Beach, FL 32118","$1,800/mo",2bd,1ba,833 sqft,32118,FL,Daytona Beach,3878 S  Atlantic Ave  #C
"27 Goodall Ave Daytona Beach, FL 32118","$2,495/mo",3bd,2ba,"1,342 sqft",32118,FL,Daytona Beach,27 Goodall Ave
"178 Date Palm Ln Freeport, FL 32439","$2,100/mo",3bd,2.5ba,"1,485 sqft",32439,FL,Freeport,178 Date Palm Ln
"304 Township Ln Winder, GA 30680","$2,625/mo",4bd,3ba,"2,117 sqft",30680,GA,Winder,304 Township Ln
"87 Moss Way Cartersville, GA 30120","$2,100/mo",4bd,2.5ba,"2,002 sqft",30120,GA,Cartersville,87 Moss Way
"813 Forsyth St   #C Macon, GA 31201","$2,000/mo",2bd,2ba,"2,000 sqft",31201,GA,Macon,813 Forsyth St   #C
"214 Circle Dr Statesboro, GA 30461","$1,500/mo",3bd,3ba,"2,370 sqft",30461,GA,Statesboro,214 Circle Dr
"116 Arborwood Way Temple, GA 30179","$1,795/mo",3bd,2ba,"1,782 sqft",30179,GA,Temple,116 Arborwood Way
"10X Trellis Savannah, GA 31419","$1,385 - $1,755/mo",1-3bd,1-2ba,No Data,31419,GA,Savannah,10X Trellis
"1108 E  49th St Savannah, GA 31404","$3,200/mo",2bd,1ba,"1,600 sqft",31404,GA,Savannah,1108 E  49th St
"Peacock Woods Columbus, GA 31906",$750/mo,2bd,1.5ba,No Data,31906,GA,Columbus,Peacock Woods
"325 Old Bascomb Rd Acworth, GA 30102","$2,049/mo",3bd,2.5ba,"1,785 sqft",30102,GA,Acworth,325 Old Bascomb Rd
"1022 Braddock Cir Woodstock, GA 30189","$1,850/mo",3bd,2ba,"1,496 sqft",30189,GA,Woodstock,1022 Braddock Cir
"2 bed, 1024 sqft, $1,325 Athens, GA 30607","$1,325/mo",2bd,2ba,No Data,30607,GA,Athens,"2 bed, 1024 sqft, $1,325"
"698 Redland Dr Jonesboro, GA 30238","$1,450/mo",2bd,2.5ba,"1,160 sqft",30238,GA,Jonesboro,698 Redland Dr
"9359 Wood Knoll Ln Jonesboro, GA 30238","$1,599/mo",3bd,2ba,"1,175 sqft",30238,GA,Jonesboro,9359 Wood Knoll Ln
"8145 Sunnydale Ln Jonesboro, GA 30236","$1,650/mo",3bd,2ba,"1,386 sqft",30236,GA,Jonesboro,8145 Sunnydale Ln
"Stillhouse Vinings Atlanta, GA 30339","$1,890 - $4,111/mo",1-3bd,1-2ba,No Data,30339,GA,Atlanta,Stillhouse Vinings
"2582 Marleigh Farm Rd NW Kennesaw, GA 30152","$1,935/mo",3bd,2ba,"1,285 sqft",30152,GA,Kennesaw,2582 Marleigh Farm Rd NW
"577 Westchester Cir Marietta, GA 30064","$2,195/mo",4bd,2ba,"1,800 sqft",30064,GA,Marietta,577 Westchester Cir
"659 Bonnie Dell Dr Marietta, GA 30062","$2,000/mo",3bd,2ba,"1,352 sqft",30062,GA,Marietta,659 Bonnie Dell Dr
"302 Browning Dr Grovetown, GA 30813","$1,200/mo",2bd,2ba,"1,092 sqft",30813,GA,Grovetown,302 Browning Dr
"215 Pinnacle Way Jasper, GA 30143","$2,500/mo",3bd,3ba,"1,812 sqft",30143,GA,Jasper,215 Pinnacle Way
"1518 Vernon Blvd Atlanta, GA 30035","$1,950/mo",3bd,2.5ba,"1,386 sqft",30035,GA,Atlanta,1518 Vernon Blvd
"355 Leland Ter Atlanta, GA 30317","$2,900/mo",2bd,2ba,"1,380 sqft",30317,GA,Atlanta,355 Leland Ter
"1275 Old Countryside Cir Stone Mountain, GA 30083","$2,150/mo",3bd,2ba,"1,507 sqft",30083,GA,Stone Mountain,1275 Old Countryside Cir
"1287 Euclid Ave Atlanta, GA 30307","$4,500/mo",4bd,2ba,"1,614 sqft",30307,GA,Atlanta,1287 Euclid Ave
"2217 Corkscrew Way Villa Rica, GA 30180","$2,320/mo",4bd,3ba,"2,257 sqft",30180,GA,Villa Rica,2217 Corkscrew Way
"6155 Knights Ln Douglasville, GA 30135","$1,545/mo",3bd,1.5ba,"1,280 sqft",30135,GA,Douglasville,6155 Knights Ln
"The Carlyle at Godley Station Pooler, GA 31322","$1,350 - $2,070/mo",1-3bd,1-2ba,No Data,31322,GA,Pooler,The Carlyle at Godley Station
"8365 Hollowbrook Dr Riverdale, GA 30274","$1,965/mo",4bd,2.5ba,"2,204 sqft",30274,GA,Riverdale,8365 Hollowbrook Dr
"4935 Bucknell Trce Cumming, GA 30028","$2,795/mo",4bd,2.5ba,"2,398 sqft",30028,GA,Cumming,4935 Bucknell Trce
"Morningside Atlanta by Windsor Atlanta, GA 30324","$1,655 - $2,830/mo",1-3bd,1-2ba,No Data,30324,GA,Atlanta,Morningside  by Windsor
"743 @ Howell Mill Apartments Atlanta, GA 30318","$1,150 - $1,675/mo",Studio-2bd,1-2ba,No Data,30318,GA,Atlanta,743 @ Howell Mill Apartments
"2299 Boulevard Granada SW Atlanta, GA 30311","$2,500/mo",3bd,2.5ba,"1,344 sqft",30311,GA,Atlanta,2299 Boulevard Granada SW
"255 Taylor Meadow Chase Roswell, GA 30076","$2,750/mo",3bd,2.5ba,"1,912 sqft",30076,GA,Roswell,255 Taylor Meadow Chase
"118 Harbour Oaks Dr   #118 Saint Simons Island, GA 31522","$1,950/mo",3bd,2ba,"1,312 sqft",31522,GA,,
"Govindappa 3133 A-B Snellville, GA 30078","$1,250/mo",2bd,1ba,No Data,30078,GA,Snellville,Govindappa 3133 A-B
"3495 Spring Mesa Dr Snellville, GA 30039","$2,595/mo",3bd,2.5ba,"2,945 sqft",30039,GA,Snellville,3495 Spring Mesa Dr
"4159 Medlock River Ct Snellville, GA 30039","$2,420/mo",4bd,2ba,"2,003 sqft",30039,GA,Snellville,4159 Medlock River Ct
"1350 Turner Rd   SW Lilburn, GA 30047","$2,500/mo",4bd,2ba,"1,978 sqft",30047,GA,Lilburn,1350 Turner Rd   SW
"7298 Spout Springs Rd Flowery Branch, GA 30542","$1,700/mo",3bd,2ba,No Data,30542,GA,Flowery Branch,7298 Spout Springs Rd
"93 Miles Way Rockmart, GA 30153","$1,805/mo",4bd,2ba,"1,305 sqft (on 0.54 acres)",30153,GA,Rockmart,93 Miles Way
"1208 Ithaca Dr McDonough, GA 30253","$2,430/mo",4bd,2.5ba,"2,663 sqft",30253,GA,McDonough,1208 Ithaca Dr
"95 Triple Crown Ln Ellenwood, GA 30294","$2,150/mo",4bd,2.5ba,"1,812 sqft (on 7.25 acres)",30294,GA,,
"2825 Harcourt Dr Locust Grove, GA 30248","$1,995/mo",4bd,2.5ba,"2,436 sqft",30248,GA,Locust Grove,2825 Harcourt Dr
"43 Cascade Ct Hoschton, GA 30548","$2,525/mo",4bd,2.5ba,"2,095 sqft",30548,GA,Hoschton,43 Cascade Ct
"1325 N  Franklin St   #E042 Dublin, GA 31021",$650/mo,3bd,2ba,960 sqft,31021,GA,Dublin,1325 N  Franklin St   #E042
"1319 S  Main Street Ext  #18 Hinesville, GA 31313",$800/mo,3bd,2ba,960 sqft,31313,GA,Hinesville,1319 S  Main Street Ext  #18
"705 W  Creek Cir Monroe, GA 30655","$1,645/mo",3bd,2ba,"1,204 sqft",30655,GA,Monroe,705 W  Creek Cir
"3308 Woodlawn Ave Columbus, GA 31904","$1,275/mo",2bd,2ba,"1,524 sqft",31904,GA,Columbus,3308 Woodlawn Ave
"100 Vinnys Way Covington, GA 30014","$2,050/mo",4bd,2ba,"1,885 sqft",30014,GA,Covington,100 Vinnys Way
"345 Victoria Blvd Oxford, GA 30054","$1,685/mo",3bd,2ba,"1,283 sqft",30054,GA,Oxford,345 Victoria Blvd
"427 Arrowhead Dr Dallas, GA 30132","$1,695/mo",3bd,2.5ba,"1,490 sqft",30132,GA,Dallas,427 Arrowhead Dr
"150 Saint Ann Cir Dallas, GA 30157","$1,795/mo",3bd,3ba,"1,969 sqft",30157,GA,Dallas,150 Saint Ann Cir
"44 China Rdg Dallas, GA 30157","$1,819/mo",3bd,2ba,"1,138 sqft",30157,GA,Dallas,44 China Rdg
"17 Towne Villas Dr Jasper, GA 30143","$1,950/mo",3bd,2.5ba,"1,750 sqft",30143,GA,Jasper,17 Towne Villas Dr
"1815 Lauren Ln Augusta, GA 30909","$1,625/mo",3bd,3ba,"1,524 sqft",30909,GA,Augusta,1815 Lauren Ln
"2019 Bloomingdale St Augusta, GA 30906","$1,250/mo",3bd,1.5ba,"1,188 sqft",30906,GA,Augusta,2019 Bloomingdale St
"1168 Vaughn St Conyers, GA 30012","$1,450/mo",2bd,1ba,800 sqft,30012,GA,Conyers,1168 Vaughn St
"507 Jefferson St Lagrange, GA 30240","$1,225/mo",2bd,1ba,"1,293 sqft",30240,GA,LaGrange,"507 Jefferson St Lagrange, GA 30240"
"63 Perlieu Ct Hinesville, GA 31313","$2,200/mo",4bd,2.5ba,"1,928 sqft",31313,GA,Hinesville,63 Perlieu Ct
"520 Lunalilo Home Rd #6324 Honolulu, HI 96825","$2,700/mo",1bd,1ba,904 sqft,96825,HI,Honolulu,520 Lunalilo Home Rd #6324
"92-1288 Kikaha St   #76-1 Kapolei, HI 96707","$3,000/mo",3bd,2.5ba,"1,306 sqft",96707,HI,Kapolei,92-1288 Kikaha St   #76-1
"2160 Maha Pl #2 Honolulu, HI 96819","$2,150/mo",2bd,1ba,600 sqft,96819,HI,Honolulu,2160 Maha Pl #2
"1778 Ala Moana Blvd #1011 Honolulu, HI 96815","$3,300/mo",1bd,1ba,650 sqft,96815,HI,Honolulu,1778 Ala Moana Blvd #1011
"Harper Ridge Meridian, ID 83642","$1,639 - $1,776/mo",1-3bd,1-2ba,No Data,83642,ID,Meridian,Harper Ridge
"5454 W  Grover St   #16 Boise, ID 83705","$1,795/mo",3bd,1.5ba,"1,200 sqft",83705,ID,Boise,5454 W  Grover St   #16
"883 E  Wandering Ln   #101 Kuna, ID 83634","$1,495/mo",2bd,2ba,866 sqft,83634,ID,Kuna,883 E  Wandering Ln   #101
"5801 W  Grunder Dr Boise, ID 83709","$2,800/mo",3bd,1ba,"1,100 sqft",83709,ID,Boise,5801 W  Grunder Dr
"592D Pheasant Ridge Dr Pocatello, ID 83202","$1,175/mo",2bd,1.5ba,"1,300 sqft",83202,ID,Pocatello,592D Pheasant Ridge Dr
"Cambridge Dorchester Apartments Boise, ID 83712","$1,325 - $1,525/mo",1-2bd,1-1.5ba,No Data,83712,ID,Boise,Cambridge Dorchester Apartments
"2001 Lawrence Ln   #102 Blackfoot, ID 83221","$1,495/mo",3bd,2.5ba,"1,584 sqft",83221,ID,Blackfoot,2001 Lawrence Ln   #102
"2508 N  Middleton Rd Nampa, ID 83651","$1,895/mo",3bd,2ba,"1,474 sqft",83651,ID,Nampa,2508 N  Middleton Rd
"1205 S  Blaine St Moscow, ID 83843",$950/mo,2bd,1ba,900 sqft,83843,ID,Moscow,1205 S  Blaine St
"1410 1/2 E  Ash Ave Coeur D Alene, ID 83814","$1,495/mo",1bd,1ba,No Data,83814,ID,,
"308 S  3 W Sugar City, ID 83448","$1,750/mo",3bd,2.5ba,"1,630 sqft",83448,ID,Sugar City,308 S  3 W
"431 Garfield Ave La Salle, IL 61301",$900/mo,2bd,1ba,945 sqft,61301,IL,,
"805 S  Lincoln Ave Urbana, IL 61801",$795/mo,1bd,1ba,500 sqft,61801,IL,Urbana,805 S  Lincoln Ave
"Orland Ridge Towns and Villas Orland Park, IL 60467","$3,000 - $3,445/mo",2-3bd,2-2.5ba,No Data,60467,IL,Orland Park,Orland Ridge Towns and Villas
"MILA Chicago Chicago, IL 60601","$2,147 - $3,934/mo",Studio-2bd,1-2ba,No Data,60601,IL,Chicago,MILA 
"The Aberdeen West Loop Chicago, IL 60607","$1,950 - $4,455/mo",Studio-3bd,1-2ba,No Data,60607,IL,Chicago,The Aberdeen West Loop
"1146 W. Morse Ave Chicago, IL 60626","$1,750/mo",2bd,2ba,No Data,60626,IL,Chicago,1146 W. Morse Ave
"Brookdale on the Park Naperville, IL 60563","$1,608 - $2,204/mo",1-3bd,1-2ba,No Data,60563,IL,Naperville,Brookdale on the Park
"5510 Pershing Ave Downers Grove, IL 60515","$2,547/mo",3bd,2ba,"1,266 sqft",60515,IL,Downers Grove,5510 Pershing Ave
"Westwood Apartments - 37 Carbondale, IL 62903",$430/mo,Studio,1ba,No Data,62903,IL,Carbondale,Westwood Apartments - 37
"1750 N  Marywood Ave #516 Aurora, IL 60505",$950/mo,1bd,1ba,600 sqft,60505,IL,Aurora,1750 N  Marywood Ave #516
"1770 1st St   #505 Highland Park, IL 60035","$2,400/mo",2bd,2ba,No Data,60035,IL,Highland Park,1770 1st St   #505
"306 Somerset Ln   #306 Vernon Hills, IL 60061","$1,899/mo",2bd,1.5ba,"1,012 sqft",60061,IL,Vernon Hills,306 Somerset Ln   #306
"Lillian Street McHenry, IL 60050","$1,180/mo",2bd,1ba,No Data,60050,IL,McHenry,Lillian Street
"419 Meadow Dr Troy, IL 62294",$950/mo,2bd,1.5ba,800 sqft,62294,IL,Troy,419 Meadow Dr
"2916 NE Madison Ave Peoria, IL 61603",$850/mo,2bd,1ba,887 sqft,61603,IL,Peoria,2916 NE Madison Ave
"Breckenridge Apartments Davenport, IA 52806",$695 - $825/mo,1-2bd,1ba,No Data,52806,IA,Davenport,Breckenridge Apartments
"1124 W  Calhoun Ave Springfield, IL 62702",$850/mo,2bd,1ba,No Data,62702,IL,Springfield,1124 W  Calhoun Ave
"2721 W  Nebraska Ave Peoria, IL 61604","$1,350/mo",4bd,2ba,"1,950 sqft",61604,IL,Peoria,2721 W  Nebraska Ave
"14857 W  Victoria Crossing Way Lockport, IL 60441","$2,300/mo",2bd,1.5ba,"1,300 sqft",60441,IL,Lockport,14857 W  Victoria Crossing Way
"222 Hosmer St Loves Park, IL 61111","$1,700/mo",3bd,1.5ba,"1,612 sqft",61111,IL,Loves Park,222 Hosmer St
"801 McKinnie Ave Fort Wayne, IN 46806",$899/mo,3bd,1ba,"1,125 sqft",46806,IN,Fort Wayne,801 McKinnie Ave
